producto_id,codigo_categoria,nombre_categoria,fecha,año,mes,precio_venta_unitario,costo_unitario,margen_unitario,margen_porcentaje,cambio_costo_este_mes,cambio_precio_este_mes,tipo_cambio
1,ALIM,Alimentos,2018-07-01,2018,7,13.58,10.31,3.2699999999999996,0.24079528718703974,False,False,Esporádico
1,ALIM,Alimentos,2018-08-01,2018,8,13.55,10.29,3.2600000000000016,0.24059040590405914,False,False,Ninguno
1,ALIM,Alimentos,2018-09-01,2018,9,13.61,10.28,3.33,0.2446730345334313,False,False,Ninguno
1,ALIM,Alimentos,2018-10-01,2018,10,13.59,10.31,3.2799999999999994,0.2413539367181751,False,False,Ninguno
1,ALIM,Alimentos,2018-11-01,2018,11,13.61,10.28,3.33,0.2446730345334313,False,False,Ninguno
1,ALIM,Alimentos,2018-12-01,2018,12,13.55,10.32,3.2300000000000004,0.23837638376383766,False,False,Ninguno
1,ALIM,Alimentos,2019-01-01,2019,1,13.71,10.51,3.200000000000001,0.2334062727935814,True,True,Esporádico
1,ALIM,Alimentos,2019-02-01,2019,2,13.34,10.71,2.629999999999999,0.197151424287856,True,True,Febrero
1,ALIM,Alimentos,2019-03-01,2019,3,13.37,10.72,2.6499999999999986,0.1982049364248316,False,False,Ninguno
1,ALIM,Alimentos,2019-04-01,2019,4,13.85,10.91,2.9399999999999995,0.2122743682310469,True,True,Esporádico
1,ALIM,Alimentos,2019-05-01,2019,5,13.8,10.92,2.880000000000001,0.2086956521739131,False,False,Ninguno
1,ALIM,Alimentos,2019-06-01,2019,6,13.87,10.95,2.92,0.2105263157894737,False,False,Ninguno
1,ALIM,Alimentos,2019-07-01,2019,7,13.51,11.38,2.129999999999999,0.157660991857883,True,True,Julio
1,ALIM,Alimentos,2019-08-01,2019,8,13.39,11.38,2.01,0.15011202389843165,False,True,Esporádico
1,ALIM,Alimentos,2019-09-01,2019,9,13.41,11.39,2.0199999999999996,0.15063385533184187,False,False,Ninguno
1,ALIM,Alimentos,2019-10-01,2019,10,13.41,11.38,2.0299999999999994,0.15137956748695,False,False,Ninguno
1,ALIM,Alimentos,2019-11-01,2019,11,13.43,11.38,2.049999999999999,0.1526433358153387,False,False,Ninguno
1,ALIM,Alimentos,2019-12-01,2019,12,13.47,11.36,2.110000000000001,0.1566443949517447,False,False,Ninguno
1,ALIM,Alimentos,2020-01-01,2020,1,13.46,11.39,2.0700000000000003,0.1537890044576523,False,False,Ninguno
1,ALIM,Alimentos,2020-02-01,2020,2,15.3,13.13,2.17,0.14183006535947712,True,True,Febrero
1,ALIM,Alimentos,2020-03-01,2020,3,15.3,13.1,2.200000000000001,0.1437908496732027,False,False,Ninguno
1,ALIM,Alimentos,2020-04-01,2020,4,15.33,13.1,2.2300000000000004,0.14546640574037836,False,False,Esporádico
